Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus,Tahun,Indeks Pembangunan Manusia,Rata-rata Lama Sekolah
SULAWESI TENGAH,3.49,2.95,70.19,69.85,2023,70.95,8.96
SULAWESI SELATAN,5.26,4.33,64.37,65.66,2023,73.46,8.76
SULAWESI TENGGARA,3.66,3.15,67.55,70.07,2023,72.79,9.31
GORONTALO,3.07,3.06,70.59,70.79,2023,70.45,8.1
SULAWESI BARAT,3.04,2.27,67.62,71.05,2023,67.55,8.13
MALUKU,6.08,6.31,63.82,63.6,2023,70.94,10.2
MALUKU UTARA,4.6,4.31,66.52,67.77,2023,70.21,9.26
PAPUA BARAT,5.53,5.38,69.36,67.24,2023,66.16,7.93
PAPUA,3.49,2.67,76.79,77.2,2023,72.41,7.15
INDONESIA,5.45,5.32,69.3,69.48,2023,73.55,8.77
